"Episode Name","Episode Number","Synopsis"
"Blood Oath","S02E19","The three old Klingons Kang, Kor and Koloth arrive at the station. After many decades they have gathered again to fulfill a blood oath to slay the Albino, a Klingon criminal who once murdered the firstborn sons of each of the three men. Curzon, as the godfather of Kang's son, swore to join them. Jadzia feels obliged to obey Curzon's oath, but Kang initially refuses to let her come with them. When he eventually agrees, Jadzia tells the reluctant Sisko that upon her return she would face whatever disciplinary consequences the excursion should have. The three arrive at the Albino's hiding place where Kang reveals that they have come to die with honor. But Jadzia convinces them to fight to win. After Koloth has been mortally wounded, they corner the Albino, and with his last breath Kang kills his mortal enemy when Jadzia hesitates."
"The Maquis","S02E20-21","The Cardassian freighter Bok'Nor explodes while departing from Deep Space 9. When Jadzia Dax suspects that it was a terrorist act, Starfleet sends Lieutenant Commander Calvin Hudson, an old friend of Sisko's, to investigate the case, which endangers the fragile peace treaty between the Federation and the Cardassians. Gul Dukat claims that Federation colonists are conducting terrorist acts against the Cardassians in the newly established Demilitarized Zone. Soon Sisko and Dukat witness how Federation ships destroy two Cardassian vessels. Moreover, O'Brien finds out that the device that caused the explosion of the Bok'Nor was of Federation origin. Then Dukat is kidnapped from Deep Space 9. When Sisko, Kira and Bashir follow the traces of the kidnappers into a border region called the Badlands, they find a group of resistance fighters, the Maquis, their leader being no one else but Calvin Hudson. Hudson escapes and Sisko decides not yet to inform Starfleet of his friend's betrayal. Meanwhile, it seems clear that the Cardassians are breaking the treaty by smuggling weapons into the Demilitarized Zone. Sisko manages to free Dukat and take prisoners. He sides with the Cardassian officer, who appears to have lost the support of his superiors. Together they foil a Maquis attack on a Cardassian colony that serves as a weapons depot. When just Sisko's and Hudson's vessels are still operational, Sisko allows his old friend to escape."
"The Wire","S02E22","Julian Bashir witnesses how Garak suffers from unbearable pain. Later, the Cardassian collapses in Quark's bar. Bashir determines that an implant is responsible for the pain attacks, apparently designed by the Obsidian Order, the Cardassian intelligence service, to punish their agents. But Garak reveals that the true purpose of the device, which he received from Enabran Tain, the head of the Obsidian Order, is to induce pleasure, in order to be able to sustain torture. During his exile he has been overusing the implant and become addicted to it, and now it malfunctions. Saying that he deserves the pain for betraying his friend Elim, Garak begins to fantasize. Bashir receives the specifications of the device when he visits Enabran Tain. Tain also tells him that Elim is actually Garak's first name. Upon Bashir's return to the station the convalesced Garak reaffirms that all the stories about his exile were true - especially the lies."
"Crossover","S02E23","After experiencing difficulties in passing through the wormhole, Kira and Bashir find themselves in the Mirror Universe. Here a certain Spock has disposed of the cruel Captain Kirk a century earlier, and initiated a chain of events that ended in the Terran Empire being subjugated by the Cardassian-Klingon Alliance. Mirror Kira oversees the station Terok Nor of that universe, aided by Mirror Garak and Mirror Odo. Bashir is sent to work in the ore processing where he meets the disillusioned Mirror ""Smiley"" O'Brien who won't help him. Mirror Kira develops a strange fascination for her look-alike. However, Mirror Garak plans to get rid of Mirror Kira, using Kira to pose as her evil counterpart. He threatens to kill Bashir if she doesn't side with him. While Kira attempts in vain to convince Mirror Sisko, who has more privileges than the other humans of this universe, to support their cause, Bashir manages to kill Mirror Odo and escapes together with O'Brien. When they ae caught and about to be publicly executed, Mirror O'Brien speaks up and tells the crowd about the Mirror Universe. Now Mirror Sisko is moved and helps Kira and Bashir to escape to their universe."
"The Collaborator","S02E24","Bajor is going to elect a new Kai, the religious leader of the planet. The intriguer Vedek Winn runs against the clear favorite Vedek Bareil. But then a Cardassian collaborator named Kubus is offered amnesty by Winn in exchange for information about the Kendra Valley massacre, in which the Cardassians murdered 43 members of the Bajoran Resistance, including Kai Opaka's son. The monk Prylar Bek revealed their whereabouts to the Cardassians and then committed suicide. The communication records seem to indicate that it was Bareil who ordered the monk to do so, in order to avert a worse disaster, because the Cardassians would have killed more than a thousand village inhabitants searching for the resistance cell. Bareil withdraws from the election. After Winn has been declared the new Kai, Kira discovers that Bareil is not the true collaborator. He covers up the decision of Kai Opaka, who sacrificed her own son for the benefit of her people."
"Tribunal","S02E25","Briefly after meeting Boone, his old friend from the USS Rutledge, O'Brien leaves the station with Keiko for a vacation. But the Cardassians kidnap the chief and put him on trial. The Cardassian trial is just a confirmation of a verdict that has been fabricated in advance. Without even knowing the charges against him, O'Brien is told that he is guilty and has been sentenced to death. Under Cardassian law, Odo is allowed to act as O'Brien's nestor during the tribunal, whereas defendant's ""lawyer"" Kovat only attempts to make him confess his guilt. On Deep Space 9, Bashir and Dax find out that Boone has stolen warheads from a weapons locker and transported them to the chief's runabout, to supply them to the Maquis as it seems, using a recording of O'Brien's voice to trick the security system. But Boone is not a member of the Maquis. Bashir discovers that he is a surgically altered Cardassian. With this proof Sisko enters the Cardassian courtroom where Judge Makbar swiftly decides to release O'Brien to spare the Cardassian Union the embarrassment about the feigned criminal case."
"The Jem'Hadar","S02E26","Ben Sisko plans a cozy excursion to a planet in the Gamma Quadrant with his son Jake. But Jake asks Nog to come with them for a common science project and finally even Quark joins the vacationers. While the unfortunate commander keeps arguing with Quark, the two boys go explore the woods. Eris, a timid humanoid woman appears and tells Sisko and Quark that she is being chased by ruthless soldiers of the Dominion called the Jem'Hadar. The Jem'Hadar appear out of the blue and take the three people prisoners. While confined in a forcefield, Sisko attempts to remove a collar from Eris's neck that blocks her telekinetic abilities, which would otherwise allow her to disable the forcefield. In the meantime Jake and Nog have beamed up to the runabout, but they don't manage to disengage the autopilot. Third Talak'talan, the leader of the Jem'Hadar group, materializes on Deep Space 9 to announce that the Dominion will no longer tolerate ships traversing the wormhole and that Sisko is a prisoner of the Dominion. The USS Odyssey under Captain Keogh arrives and, escorted by the two other runabouts, enters the Wormhole to rescue the commander. O'Brien beams to the third runabout with Jake and Nog, and he beams up Sisko, Quark and Eris, who have finally managed to release the lock of Eris's collar. Jem'Hadar ships appear and attack the Starfleet vessels. One of them rams and destroys the Odyssey in a suicide run, while the three runabouts escape through the wormhole. Back on the station Quark discovers that the collar is a fake. Eris's telekinetic abilities were never blocked. She is a member of the Dominion herself and disappears before she can be arrested."
"The Search","S03E01-02","Commander Sisko arrives at Deep Space 9 with the Defiant, the only Starfleet vessel built especially for combat and equipped with a Romulan cloaking device. His plan is to meet and to come to terms with the mysterious Founders of the Dominion in the Gamma Quadrant. Odo, who has been replaced by Commander Eddington as head of security, grudgingly joins the Defiant crew. They proceed into the Gamma Quadrant under cloak. Staring at a star chart of the sectors ahead, which show the way to a comm relay of the Vorta, a race belonging to the Dominion, Odo feels strangely attracted to a place called the Omarion Nebula. Dax and O'Brien have to be left behind on the communication relay on Callinon VII. Moreover, the Defiant, in spite of the cloaking, comes under attack by three Jem'Hadar vessels and is boarded. Odo manages to escape in a shuttle with an unconscious Kira and sets a course for the Omarion Nebula. Inside the nebula they land on a planet that turns out to be Odo's home. He is told by a female shapeshifter that their kind has sought refuge on this world after their species had been persecuted by the ""Solids"" for a long time. Meanwhile, Sisko and Bashir, traveling in a shuttle, are rescued by O'Brien and Dax, who have met up with the Founders. When the four arrive on Deep Space 9, peace talks are already on the way, the Founders being represented by a man named Borath. But the Romulans have been excluded, and Jem'Hadar soldiers continue to terrorize the station. Sisko, Garak, Dax, Bashir and O'Brien decide to collapse the wormhole in a suicide mission to protect the Alpha Quadrant from the hordes. On the shapeshifters' homeworld, however, Odo discovers a secret: Sisko and the other Defiant crew members are held prisoners. The are all unconscious, and the whole story about their return to Deep Space 9 was an illusion, a test of the Federation's determination. Moreover, Borath is not a Founder but a Vorta. The shapeshifters, Odo's species, are the real Founders. Odo demands that his friends be released and joins them on their way back to Deep Space 9, repelled by the criminal conduct of his people."
"The House of Quark","S03E03","While in Quark's bar, the drunk Klingon Kozak accidentally falls into his own knife and dies. Quark, who sees an opportunity to revive his business, takes credit for slaying the Klingon. When Kozak's brother D'Ghor arrives, the paradoxical Klingon logic requires that Quark maintain his claim, because only this way Kozak would have died honorably and D'Ghor would spare the Ferengi's life. Kozak's wife Grillka, on the other hand, is vitally interested in rebutting Quark's pretension, for she could only inherit the reign over the House of Kozak if her husband had died accidentally; otherwise D'Ghor would be the heir. She takes Quark to Qo'noS to marry him, and Gowron instates the Ferengi as the provisional leader of the House of Quark. When the two discover that D'Ghor has been systematically harming Kozak's financial interests, they take the case to the High Council. D'Ghor now changes his strategy and disputes Quark's killing of Kozak. When he is about to attack a defenseless Quark, Gowron dishonors him. The Klingon Chancellor grants Grillka to lead the house herself, while Quark is divorced from her."
"Equilibrium","S03E04","Jadzia Dax, who always thought she was musically untalented, plays a melody on a keyboard that she seems to remember from somewhere and begins to hallucinate. Dr. Bashir examines her and finds dangerously low levels of a neurotransmitter between the Jadzia host and the Dax symbiont. They take the Defiant to the Trill homeworld to consult Dr. Renhol of the Symbiosis Commission. Timor, one of the unjoined Trills taking care of the symbionts senses there is something wrong with one of the Dax hosts. Dax is plagued by hallucinations again, apparently of a time some 80 years ago. The music was composed by a man named Joran Belar living in that time. When Dax goes into neural shock, Dr. Renhol rules that the Dax symbiont has to be removed at the host's expense if their condition doesn't improve. In an attempt to find out more to save Jadzia, Sisko and Bashir contact Yolad, Joran's brother. The official story is that Joran had allegedly been rejected by the Symbiosis Commission and then murdered the doctor who made that decision. But Yolad eventually discloses that his brother was indeed joined for no less than six months - a fact that has been purged from all records. The symbiont was Dax, and Dax's memory was erased likewise. The two officers also learn that not just a tiny percentage but half of all Trills are fit to be joined. Having obtained information that could put the Commission into a precarious position, they can convince Dr. Renhol to abstain from the removal of the Dax symbiont and to save Jadzia by re-integrating the suppressed memories."
"Second Skin","S03E05","When Major Kira examines obviously feigned evidence that she was in the labor camp of Elemspur, she is kidnapped and taken to Cardassia. She looks into a mirror and is horrified to find that her face is now Cardassian! The Cardassian official Entek tells her that she is really Iliana Ghemor, who once agreed to infiltrate the Bajoran Resistance with the stolen identity and transplanted memories of a captured Bajoran woman named Kira Nerys. Her alleged father Tekeny Ghemor arrives and is disappointed that none of his daughter's Cardassian memories has resurfaced yet. On Deep Space 9, Odo suspects that Kira has been abducted by the Obsidian Order, the Cardassian secret service. He and Sisko have Garak join them to locate Kira on Cardassia. In the meantime, Kira/Iliana is presented a cryogenically conserved body said to be the real Kira Nerys. She is also repeatedly interviewed by Entek, until Ghemor finally sympathizes with her obstinacy and says that he will agree to her leaving Cardassia. Ghemor reveals that he is a dissident. That was the information Entek was only aiming for, and he orders Obsidian Order agents to arrest Ghemor. But Sisko, Odo and Garak appear, with Garak killing Entek. On Deep Space 9 Bashir confirms that Kira is really Bajoran. Ghemor, however, confesses that unless he finds his real daughter, Kira is the closest to a family that is left to him."
"The Abandoned","S03E06","Quark purchases the wreckage of a ship from the Gamma Quadrant and finds an alien infant whom he takes to the infirmary. To Dr. Bashir's surprise the child grows to the equivalent of an eight-year-old boy who can speak in a matter of a few hours. The boy is a young Jem'Hadar. Odo, who is afraid that the boy may end up as a lab rat like he used to be one himself, receives Sisko's approval to work with the young Jem'Hadar. But despite all his efforts to educate him, the boys only interest is violence. While a Starfleet vessel is already on the way to pick up the young warrior, the boy threatens Sisko with a phaser and demands access to a runabout to leave for the Gamma Quadrant. Odo is aware that the young Jem'Hadar would either kill someone or be killed on his way, so he insists on accompanying him."
"Civil Defense","S03E07","Ben Sisko, Jake Sisko and O'Brien are trapped in the ore processing facility on Deep Space 9 when an old Cardassian security system meant to suppress a worker revolt kicks in. Gul Dukat appears on the station's monitors and announces the countermeasures. The Ops and the security office are sealed likewise, and the station is slated to be flooded with neurocine gas. Garak is the only one who can penetrate the forcefield around the Ops thanks to his still working security code. He gives Kira the advice to destroy the life support system to stop the gas. But the phaser blast sets off the countdown to the station's self destruction. The sadistically amused real Gul Dukat arrives to witness the desperate efforts to save the station. But when he attempts to beam out, a recording of his former superior appears on the screen and declares that Dukat is not allowed to leave his post. He now has to work with the Deep Space 9 crew. Dax manages to free Sisko, Jake and O'Brien from their prison by taking down all forcefields through a station-wide power surge. With not enough time left to stop the self-destruct, Sisko decides to let the shields absorb the explosion of the fusion reactor, and the station survives with some damage."
"Meridian","S03E08","In the Gamma Quadrant the Defiant crew witness how a planet appears where there was previously none. A woman named Setlin invites them to their world. She explains that Meridian is subject to dimensional shifts in the course of which the planet reappears after 60 years during which its inhabitants exist as pure consciousness. But the phases of physical presence are becoming shorter each time. With just a few days left for now, Dax devises a method to stabilize the planet's sun in order to equalize the time between the dimensional shifts. While working on the problem she falls in love with Deral, a man from Meridian. Deral decides to leave the planet to stay with Dax, but his departure would destabilize Meridian's society. Determined not to give up Deral, Dax alters her molecular structure so she would be able to join Meridian on the dimensional shift. But the attempt fails, and Dax has to be beamed up to the Defiant to allow Meridian to shift, leaving a saddened couple that would not be able to meet again for the next 60 years."
"Defiant","S03E09","Kira takes Commander William Riker of the Enterprise on a tour of the Defiant. But suddenly Riker stuns her with a phaser. Two more people, Tamal and Kalita, are beamed aboard, and after a feigned malfunction the Defiant escapes. The hijacker is actually Thomas Riker, Will's duplicate who came to life in a transporter accident several years ago and who is now with the Maquis. Sisko and Odo reluctantly inform Dukat of the hijacking. In the eyes of the Cardassians the search for the warship may justify a brutal invasion of the Demilitarized Zone between them and the Federation. Working with Dukat and Korinas from the Obsidian Order, Sisko has to reveal that the cloaked ship may be detected with the help of an antiproton beam. But Kira manages to disable the cloaking. During the repairs Riker reveals that his target is the Orias system where the Cardassians supposedly build an invasion fleet. When Sisko, too, suspects that the Defiant's destination is Orias, Korinas denies Dukat's vessels the admission to the system. Suddenly three warships of the Obsidian Order, which is not even supposed to have ships, enter the scene. Dukat, who is just as surprised as Sisko, agrees to a deal with the Starfleet officer. Dukat's ships of the Central Command grant the Defiant a safe passage, in exchange for the Defiant's sensor data about the Obsidian Order's clandestine armament. Thomas Riker is captured by the Cardassians, with Dukat's pledge that he would not be sentenced to death."
"Fascination","S03E10","While Sisko is preparing a party at the occasion of the Bajoran Gratitude Festival, Lwaxana Troi arrives at the station, hoping for a love affair with Odo. But the constable ignores her advances. Surprisingly several crew members and guests begin to develop new romantic interests, as Jake adores Kira, Kira is smitten with Bashir, Vedek Bareil goes after Dax, Dax pesters Sisko and Quarks falls in love with Keiko O'Brien, who shows a romantic interest in Bareil. It turns out that Lwaxana's Zanthi fever is responsible for the whole mess. In this condition Betazoids inadvertently project their amorous feelings to people in their vicinity - interestingly feelings that must already exist latently. Only for Keiko and Miles O'Brien the whole hassle has a positive lasting effect, for the two rediscover their love after being tired of their marriage."
"Past Tense","S03E11-12","After beaming down from the Defiant to Earth, Dax, Bashir and O'Brien find themselves in the San Francisco of the year 2024. The two seemingly homeless men are taken to a so-called ""Sanctuary District"", while Jadzia is picked up by Chris Brynner, a 21st century yuppie. Sisko realizes that he and Bashir have arrived just before the Bell Riots, in which desperate homeless people would take hostages. Their lives would be saved by the sacrifice of a man named Gabriel Bell. But Gabriel Bell is killed prematurely as a result of Sisko's and Bashir's presence in that time. As the riots begin, Sisko joins the crowd, pretending to be Gabriel Bell. In the meantime, Kira and O'Brien find out that the accident happened because chronitons in the hull, stemming from the Defiant's cloaking device, interfered with the transporter. They repeatedly attempt to find the time to which the three officers have traveled. Negotiating with a police official, Sisko/Bell and Webb, the other sensible leader of the insurgents, voice their demand that the Sanctuary Districts be abandoned. By restoring their computer access Dax and Brynner help spreading the message, but the governor orders the police to end the riot with violence. Kira and O'Brien finally locate Dax, but when a SWAT team storms the building, Webb is killed and Sisko is wounded when he jumps into the line of fire to save a hostage. Yet, this outcome resets the normal course of history, the only difference being that Sisko's picture is now in the historical databases, labeled as ""Gabriel Bell""."
"Life Support","S03E13","Kai Winn's and Vedek Bareil's vessel is nearly destroyed on their way to secret peace talks with the Cardassians. While Winn escapes with small injuries, Dr. Bashir can only revive Bareil after extensive stimulation of his damaged brain. He suggests that the Vedek be put into stasis in order to receive a treatment at a later date. But Kai Winn is afraid that the crucial negotiations may fail without him, and Bareil himself insists on staying awake to advise the Kai. The doctor administers a drug that maintains Bareil's brain activity, but towards the end of the negotiations his left brain half fails and can only be kept alive using positronic neural implants. Bareil is not the same any more and he has seemingly lost his feelings for Kira, but he brings the talks to a successful end when the peace treaty is signed. Dr. Bashir, however, has to tell the distressed Kira that he would not attempt to keep Bareil alive using even more implants, and so the vedek eventually dies."
"Heart of Stone","S03E14","When Odo and Kira pursue an alleged Maquis ship that ambushed a Lissepian freighter, they wind up on a barren moon. After being separated for a moment, Odo finds Kira, her feet trapped in a cavern in some sort of crystal. Henceforth, the crystal begins to grow upward. Odo attempts to destroy the crystal, but soon it encases Kira's chest. When earthquakes shake the cavern, she orders Odo to leave in order to save his life. Odo, however, confesses that he won't go because he loves her. Much to his surprise Kira says that she has feelings for him too. Odo waits until the crystal has grown up her neck. Now Kira urges him to leave and tells him that she isn't really in love with him. Odo knows that the true Kira would never lie to him. He pulls a phaser, and Kira turns out to be the female Changeling he knows from the Omarion Nebula. She was planning to make Odo return to his homeworld after losing Kira."
"Destiny","S03E15","Cardassian scientists are going to set up a subspace relay that would enable a communication link to the Gamma Quadrant through the Wormhole. But the Bajoran Vedek Yarka warns Sisko of an old prophecy of ""three vipers"" that would return to their ""nest"". To everyone's relief only two Cardassian women arrive, but a third one is going to join them. Kira is concerned but doesn't permit her faith to interfere with her duty. When, however, a part of the prophecy, a ""sword of stars"" in the form of a comet near the far wormhole exit seems to come true, she urges Sisko to end the experiment. Sisko decides to carry on regardless, with the outcome that the comet is heading for the wormhole inside which it would cause the anomaly to collapse. With modified phasers the Defiant attempts to vaporize the comet, but Dejar, one of the Cardassians, has sabotaged the weapons. The comet breaks apart into three chunks - apparently the three vipers mentioned in the prophecy. Using a shuttlepod to be able to maneuver, Sisko and Kira generate a subspace field around the three fragments, thereby protecting the wormhole and, as a surprising byproduct, completing the communication channel through the wormhole."
"Prophet Motive","S03E16","Grand Nagus Zek comes to the station with a volume of the new Ferengi Rules of Acquisition. To Quark's horror the old man has rewritten the rules to endorse benevolence instead of greed. Investigating the rediscovered Orb of Wisdom that Zek is going to donate to the Bajoran people, Quark and Rom realize that the Nagus received it as a gift from the Bajoran Prophets. Determined to restore his greedy nature, the two and his servant Maihar'du kidnap Zek and take him to the wormhole. There the Prophets are appalled about Quark's behavior and tell him they would change his state of existence like they did with Zek. But Quark proposes them a deal: If they revert Zek to the man he was, he promises that no Ferengi will ever bother the Prophets again. Zek destroys the revised rules and decides to sell the orb to the Bajorans."
"Visionary","S03E17","While a Romulan delegation is reviewing the Defiant's sensor logs of the Gamma Quadrant, O'Brien is recovering from a slight radiation poisoning. All of a sudden the chief engineer seems to hallucinate how another O'Brien is talking to Quark. Five hours later, however, this conversation really takes place. Dax theorizes that the radiation exposure makes O'Brien shift forward in time. The second time shift occurs, and O'Brien finds himself in a brawl between Romulans and Klingons in Quark's bar, which actually happens five hours later. In the third time travel O'Brien witnesses how he is killed when opening a wall panel in a corridor. The Klingons will place a device there to spy on the Romulan delegates. His fourth time shift leads O'Brien to sickbay to find his dead body. Future Bashir sends him back with the advice for present Bashir to care about O'Brien's basilar arteries to save him. After Dax has found out that a quantum singularity triggers the frequent time shifts, O'Brien shifts once again and finds himself on a crowded runabout from where he sees how Deep Space 9 explodes and the wormhole collapses. In order to arrive at an earlier date to find out what destroyed the station, Dr. Bashir gives O'Brien a device that floods his body with delta isotopes to trigger the time shift, although it could be too much for him. In the future it becomes clear that a cloaked Romulan Warbird, which uses a quantum singularity as its power source, is responsible for the attack. The weakened time-traveling O'Brien hands over the device to his future self who travels back to warn Sisko. The commander locks torpedoes onto the quantum singularity, and the Romulans choose to retreat."
"Distant Voices","S03E18","An alien named Altovar attempts to steal biomimetic gel from the infirmary and stuns Bashir with an electric discharge. Bashir wakes up on a dim station, and with his hair beginning to gray. He also perceives strange whispering sounds. After escaping another assault by Altovar, Bashir joins Kira, O'Brien, Odo and Dax. O'Brien repairs the station's systems, and now the whispering voices clear up: It is the crew who are discussing Bashir's condition. When Bashir scans himself, he finds that he is in a coma, while everyone else exists just in his mind. Each of the other individuals represents a part of his personality, and Altovar is killing them one by one. With Bashir being around 100 years old and only Garak left to support him, the doctor goes to the infirmary and sets up a trap for Altovar. After successfully disabling the alien in his dreams, Bashir wakes up in the real infirmary."
"Through the Looking Glass","S03E19","""Smiley"" O'Brien kidnaps Ben Sisko to the Mirror Universe. The commander is supposed to pose as his Mirror Universe counterpart who has recently been killed. Only Sisko can convince a Terran scientist who happens to be Jennifer Sisko to join the rebellion. Among the rebels Sisko meets Dax who is his lover in this universe, and also Bashir, Rom and Tuvok none of whom is aware of his true origin. On Terok Nor Sisko and O'Brien are immediately arrested, and Sisko is taken to Intendant Kira, whereas O'Brien is put into the ore processing plant. Sisko finally succeeds in convincing Jennifer, who is divorced from him in this universe, to come with him. He gives O'Brien a secret signal upon which he arranges the Terran workers' escape. When the three are cornered by Kira's and Garak's troops, they threaten to self-destruct the station and are allowed to leave. Before Sisko returns to his universe, Jennifer Sisko reveals that she was aware that he wasn't her Sisko."
"Improbable Cause / The Die is Cast","S03E20-21","An explosion shatters Garak's tailor shop on Deep Space 9. Partially due to Garak's unwillingness to talk, Odo does not find any solid evidence against the main suspect, a Flaxian named Retaya. Upon leaving the station Retaya's ship explodes, apparently because of Romulan sabotage. Odo surmises that Garak himself is responsible for the explosion in his shop to get the security chief involved. When he tells Garak that five Cardassian agents died in unfortunate accidents the same day that the shop was blown up, Garak becomes uneasy that someone might kill his mentor Enabran Tain, the former head of the Obsidian Order, likewise. Odo and Garak take a runabout to investigate Tain's recent disappearance when they are pulled inside a Romulan Warbird. To their surprise they find Tain who has forged an alliance between the Obsidian Order and the Romulan Tal Shiar under Colonel Lovok. A combined fleet of Warbirds and the ships that the Obsidian Order secretly built in the Orias system is going to destroy the Founders' homeworld in the Delta Quadrant. Garak was actually on Tain's assassination list as he could know too much, but now Tain grants him an opportunity to redeem himself - by torturing Odo in order to find out more about the Founders. Sisko is warned by Starfleet of the imminent military operation, and is ordered to stand by to be prepared for retaliatory attacks of the Jem'Hadar. But Sisko takes the Defiant to the Gamma Quadrant, hoping to find Odo on one of the attacking vessels. Commander Eddington, however, disables the cloaking under orders of Starfleet Command. On the Warbird, Garak finally disables the restriction device and allows Odo to return to his fluid state. In orbit of the planet known to be the Founders' homeworld, all 19 Cardassian and Romulan ships open fire and devastate the surface. But the planet has been evacuated, and a fleet of 150 Jem'Hadar vessels ambush the Romulan-Cardassian fleet which is totally destroyed. With the help of Lovok, who is actually a Founder, Garak and Odo manage to escape and are rescued by the Defiant."
"Explorers","S03E22","Sisko returns from Bajor with plans of an 800-year-old starship design, propelled only by solar wind. According to legend, Bajorans even crossed the interstellar distance to Cardassia in such ships, which Gul Dukat calls a ""fairy tale"". Jake overcomes his initial reluctance and joins his father, who is building the ship with very few concessions to modern times. They launch the vessel, and Jake uses the opportunity to tell his father about his plan to attend Pennington School in New Zealand. Soon they have to abandon one sail. Moreover, their vessel is caught in some sort of eddy. Thanks to tachyons, which have accelerated the sailing ship to warp speed, they wind up near Cardassia where Gul Dukat congratulates them and concedes that recently discovered ruins on Cardassia prove the existence of ancient Bajoran visitors."
"Family Business","S03E23","Liquidator Brunt of the Ferengi Commerce Authority (FCA) presents Quark a writ of accountability because his mother is charged with making profit - which is illegal for women in the Ferengi Alliance. He and Rom travel to Ferenginar to make her sign a confession. They are shocked that their mother is also wearing clothes - which is considered indecent for women. Ishka admits that she made a profit of three bars of latinum. But Quark later discovers that it is actually much more, so much that it would ruin him, as he would have to refund it should she refuse. Infuriated that Ishka pretends to have the better lobes for business, he nonetheless decides to denounce his mother, and only Rom can stop him with the false story that she would share the profit. Eventually Ishka gives up, signs the confession and vows to pay back the profit. But, as she tells only Rom in private, just a third of her actual profit was accounted for."
"Shakaar","S03E24","After the death of the Bajoran Prime Minister, Kai Winn is appointed his duties and is going to be formally elected. Winn calls Kira to help her retrieve soil reclamators from a group of stubborn farmers in Kira's home province Dakhur. Among them is Shakaar Edon who led Kira's resistance cell during the Cardassian occupation. But Shakaar refuses to give the reclamators back that he thinks are more urgently needed to feed his people than to produce for export in the Rakantha province. When Winn sends troops to arrest Shakaar, Kira joins his group and hides in the mountains for weeks. They finally agree to a cease-fire with General Lenaris Holem. Lenaris takes the pair to Winn's office where Shakaar announces that he would run for prime minister. Winn recognizes that it would be better to step down from the election, having no chance against the popular Shakaar."
"Facets","S03E25","Dax prepares to undergo the zhian'tara, a ceremony in which joined Trills transfer the personalities of previous hosts to other individuals. Kira takes over Lela's personality, with O'Brien following as Tobin, Leeta as Emony, Quark as the (female) Audrid and Bashir as the unfortunate Torias who died in a shuttle accident. Sisko has the hardest part, as he is going to be Joran, the criminal host, and he is locked up in a holding cell for everyone's safety. When Joran/Sisko persuades Jadzia to lower the forcefield, he assaults her, but fortunately she can disable him with precise blows. Odo literally morphs into Curzon Dax when he takes over this part. Jadzia is uneasy with Curzon, who once forced her out of the initiate program, separated from her. To her surprise, Curzon announces that he would stay in Odo's body. But Jadzia confronts him with the true reason why he did not want her to be joined - Curzon was in love with her. After this revelation he agrees to be reintegrated with Dax. In the meantime, Nog has passed his entrance exam for Starfleet Academy and proudly wears his future cadet uniform for the first time."
"The Adversary","S03E26","Ambassador Krajensky informs Sisko, who has just been promoted to the rank of captain, of a coup on the Tzenkethi homeworld that would also threaten some nearby Federation colonies. With the Defiant on the way to that sector, a distress call from Barisa Prime states that they are under attack by the Tzenkethi. But Krajensky, who is actually a changeling, has deceived everyone aboard, in the hopes of causing a war between the Federation and the Tzenkethi. He morphs and escapes through a hatch. In the following the changeling continues to fool the crew among whom suspicion arises that anyone could be the intruder. Odo discovers that Sisko is bleeding, inferring that he can't be a changeling because parts separated from the body would return to their gelatinous state. Now they have found a method to expose the changeling. But with the Defiant entering Tzenkethi space with activated weapons, Sisko has to order the ship's self-destruction, giving O'Brien only ten minutes to regain control. During a scuffle in the engineering room Odo jabs the other changeling who falls into the field surrounding the warp core and dies. The changeling's last words are: ""You are too late. We are everywhere."""
"The Way of the Warrior","S04E01-02","A Klingon fleet headed by General Martok arrives at Deep Space 9, allegedly to help the Federation fight against the Dominion. In order to figure out what the Klingon presence is really about, Lt. Commander Worf is summoned to the station. He learns that the Klingons are preparing an invasion of Cardassia, asserting that the Cardassian government has been infiltrated by Changelings. Sisko gives Garak a cue so the Cardassians have at least a slight chance to defend themselves. Starfleet orders Sisko to remain neutral in the conflict though. The Federation officially condemns the attack, and the Klingons react by calling off the peace treaty. When the victorious Klingon fleet returns from Cardassia, Gowron offers Worf to redeem himself, but he declines, upon which Gowron strips the House of Mogh of its honor. With the help of the Defiant Sisko manages to rescue a couple of Cardassian council members, among them the recently appointed Legate Dukat. The Klingon fleet beleaguers Deep Space 9, demanding their extradition. Sisko refuses, and many Klingon ships fall victim to the upgraded tactical systems of the station. Grudgingly Gowron orders the fleet to retreat, but the Klingons are not willing to give up the Cardassian colonies they have conquered."
"The Visitor","S04E03","An aged Jake Sisko tells the young aspiring writer Melanie the story of his life. When Jake was 18 years old, his father, Ben Sisko, apparently died in an accident on the Defiant when he was hit by a light bolt from the warp core during an experiment. But time and again the captain rematerialized in the following years. Jake, who had become a successful author in the meantime, his principal work being the novel Anslem, decided to start over and study subspace mechanics. But the attempt to to exactly reproduce the experiment to retrieve his father from subspace failed. Ben was just able to tell his son to finally let go. Old Jake expects Ben to appear one last time, and he takes a poison to die in the very moment when his father is with him. Now that the cord between the two is broken, Ben is hurled back to the moment of the accident. Knowing what would happen, he ducks when the light bolt strikes, gaining a second chance to live with his son."
